level_0,level_1,correlacao
IN_ATIVIDADE_EXTRACURRICULAR,TP_MOBILIDADE_ACADEMICA,0.29243966988245723
TP_MOBILIDADE_ACADEMICA,IN_ATIVIDADE_EXTRACURRICULAR,0.29243966988245723
IN_DEFICIENCIA_BAIXA_VISAO,CO_CINE_ROTULO,0.2852252675445586
CO_CINE_ROTULO,IN_DEFICIENCIA_BAIXA_VISAO,0.2852252675445586
QT_CARGA_HORARIA_INTEG,IN_ATIVIDADE_EXTRACURRICULAR,0.27855357680150383
IN_ATIVIDADE_EXTRACURRICULAR,QT_CARGA_HORARIA_INTEG,0.27855357680150383
NU_ANO_NASCIMENTO,IN_MATRICULA,0.2626549145719751
IN_MATRICULA,NU_ANO_NASCIMENTO,0.2626549145719751
QT_CARGA_HORARIA_INTEG,CO_CINE_ROTULO,0.26190976041941966
CO_CINE_ROTULO,QT_CARGA_HORARIA_INTEG,0.26190976041941966
IN_INGRESSO_VESTIBULAR,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,0.25976232625636914
TP_ESCOLA_CONCLUSAO_ENS_MEDIO,IN_INGRESSO_VESTIBULAR,0.25976232625636914
IN_CONCLUINTE,CO_PAIS_DESTINO,0.25371736279592105
TP_SITUACAO,CO_PAIS_DESTINO,0.25371736279592105
CO_PAIS_DESTINO,TP_SITUACAO,0.25371736279592105
CO_PAIS_DESTINO,IN_CONCLUINTE,0.25371736279592105
IN_ATIVIDADE_EXTRACURRICULAR,IN_MATRICULA,0.25002814151561903
IN_MATRICULA,IN_ATIVIDADE_EXTRACURRICULAR,0.25002814151561903
IN_COMPLEMENTAR_EXTENSAO,IN_DEFICIENCIA_FISICA,0.25
IN_DEFICIENCIA_FISICA,IN_COMPLEMENTAR_EXTENSAO,0.25
NU_ANO_INGRESSO,DT_INGRESSO_CURSO,0.24799239210439014
DT_INGRESSO_CURSO,NU_ANO_INGRESSO,0.24799239210439014
IN_DEFICIENCIA_AUDITIVA,ID_ALUNO,0.24299900037912173
ID_ALUNO,IN_DEFICIENCIA_AUDITIVA,0.24299900037912173
QT_CARGA_HORARIA_INTEG,IN_APOIO_TRANSPORTE,0.23904999199807025
IN_APOIO_TRANSPORTE,QT_CARGA_HORARIA_INTEG,0.23904999199807025
QT_CARGA_HORARIA_TOTAL,CO_PAIS_DESTINO,0.23654790872330286
CO_PAIS_DESTINO,QT_CARGA_HORARIA_TOTAL,0.23654790872330286
TP_SEXO,IN_DEFICIENCIA_CEGUEIRA,0.23432789147584265
IN_DEFICIENCIA_CEGUEIRA,TP_SEXO,0.23432789147584265
IN_RESERVA_VAGAS,TP_COR_RACA,0.23324625588028633
TP_COR_RACA,IN_RESERVA_VAGAS,0.23324625588028633
TP_TURNO,DT_INGRESSO_CURSO,0.23294901650594435
DT_INGRESSO_CURSO,TP_TURNO,0.23294901650594435
DT_INGRESSO_CURSO,CO_CINE_ROTULO,0.2321371425084239
CO_CINE_ROTULO,DT_INGRESSO_CURSO,0.2321371425084239
QT_CARGA_HORARIA_INTEG,TP_MOBILIDADE_ACADEMICA,0.22922177453413495
TP_MOBILIDADE_ACADEMICA,QT_CARGA_HORARIA_INTEG,0.22922177453413495
TP_TURNO,IN_DEFICIENCIA_BAIXA_VISAO,0.22587457735962224
IN_DEFICIENCIA_BAIXA_VISAO,TP_TURNO,0.22587457735962224
TP_MOBILIDADE_ACADEMICA,NU_DIA_NASCIMENTO,0.2255364797744142
NU_DIA_NASCIMENTO,TP_MOBILIDADE_ACADEMICA,0.2255364797744142
TP_GRAU_ACADEMICO,NU_IDADE,0.22465276394142591
NU_IDADE,TP_GRAU_ACADEMICO,0.22465276394142591
TP_SEMESTRE_REFERENCIA,IN_MATRICULA,0.22462074414689162
IN_MATRICULA,TP_SEMESTRE_REFERENCIA,0.22462074414689162
IN_DEFICIENCIA_SURDEZ,IN_INGRESSO_VAGA_REMANESC,0.21931278598863796
IN_INGRESSO_VAGA_REMANESC,IN_DEFICIENCIA_SURDEZ,0.21931278598863796
TP_MOBILIDADE_ACADEMICA,TP_COR_RACA,0.21821789023599245
TP_COR_RACA,TP_MOBILIDADE_ACADEMICA,0.21821789023599245
IN_DEFICIENCIA_FISICA,NU_IDADE,0.21646233502669807
NU_IDADE,IN_DEFICIENCIA_FISICA,0.21646233502669807
NU_ANO_NASCIMENTO,CO_CINE_ROTULO,0.2126892460241579
CO_CINE_ROTULO,NU_ANO_NASCIMENTO,0.2126892460241579
IN_APOIO_ALIMENTACAO,IN_APOIO_MORADIA,0.2123712933971178
IN_APOIO_MORADIA,IN_APOIO_ALIMENTACAO,0.2123712933971178
TP_ESCOLA_CONCLUSAO_ENS_MEDIO,IN_TGD_SINDROME_ASPERGER,0.21198965429135933
IN_TGD_SINDROME_ASPERGER,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,0.21198965429135933
IN_INGRESSO_VAGA_NOVA,NU_ANO_NASCIMENTO,0.2111860473543637
NU_ANO_NASCIMENTO,IN_INGRESSO_VAGA_NOVA,0.2111860473543637
TP_SEMESTRE_REFERENCIA,NU_ANO_INGRESSO,0.21026279801907075
NU_ANO_INGRESSO,TP_SEMESTRE_REFERENCIA,0.21026279801907075
CO_PAIS_DESTINO,NU_MES_NASCIMENTO,0.21017936056065298
NU_MES_NASCIMENTO,CO_PAIS_DESTINO,0.21017936056065298
NU_IDADE,IN_DEFICIENCIA_SURDEZ,0.2098687252626058
IN_DEFICIENCIA_SURDEZ,NU_IDADE,0.2098687252626058
